frame,seed,policy,vram_allocated_mb,vram_max_mb
19,42,ours,62.302734375,82.96484375
20,42,ours,62.3291015625,82.96484375
21,42,ours,62.34716796875,82.96484375
22,42,ours,62.37060546875,82.96484375
23,42,ours,62.388671875,82.96484375
24,42,ours,62.41650390625,82.96484375
25,42,ours,62.4306640625,82.96484375
26,42,ours,62.45703125,82.96484375
27,42,ours,62.47119140625,82.96484375
28,42,ours,62.49755859375,82.96484375
29,42,ours,62.5322265625,82.96484375
1,42,full,60.11669921875,448.98291015625
2,42,full,60.14306640625,452.00048828125
3,42,full,60.15673828125,455.291015625
4,42,full,60.189453125,459.0439453125
5,42,full,60.21630859375,461.47265625
6,42,full,60.22998046875,464.5791015625
7,42,full,60.255859375,467.30029296875
8,42,full,60.2734375,470.84814453125
9,42,full,60.296875,473.9267578125
10,42,full,60.314453125,477.5703125
11,42,full,60.34130859375,480.33447265625
12,42,full,60.35498046875,483.35302734375
13,42,full,60.380859375,486.82421875
14,42,full,60.39453125,490.61767578125
15,42,full,60.42041015625,493.064453125
16,42,full,60.43408203125,494.72802734375
17,42,full,60.46044921875,498.45556640625
18,42,full,60.494140625,502.2890625
19,42,full,60.5078125,505.51806640625
20,42,full,60.53369140625,509.3583984375
21,42,full,60.54736328125,511.67529296875
22,42,full,60.5732421875,514.4326171875
23,42,full,60.5908203125,517.67333984375
24,42,full,60.615234375,519.89892578125
25,42,full,60.6318359375,522.65966796875
26,42,full,60.65869140625,527.6025390625
27,42,full,60.67236328125,531.0107421875
28,42,full,60.6982421875,533.689453125
29,42,full,60.73193359375,538.40771484375
1,43,no_op,59.92529296875,538.40771484375
2,43,no_op,59.947265625,538.40771484375
3,43,no_op,59.97607421875,538.40771484375
4,43,no_op,59.9873046875,538.40771484375
5,43,no_op,60.0087890625,538.40771484375
6,43,no_op,60.02001953125,538.40771484375
7,43,no_op,60.04150390625,538.40771484375
8,43,no_op,60.052734375,538.40771484375
9,43,no_op,60.07470703125,538.40771484375
10,43,no_op,60.0888671875,538.40771484375
11,43,no_op,60.111328125,538.40771484375
12,43,no_op,60.12255859375,538.40771484375
13,43,no_op,60.14404296875,538.40771484375
14,43,no_op,60.1552734375,538.40771484375
15,43,no_op,60.18310546875,538.40771484375
16,43,no_op,60.2060546875,538.40771484375
17,43,no_op,60.21728515625,538.40771484375
18,43,no_op,60.23876953125,538.40771484375
19,43,no_op,60.25244140625,538.40771484375
20,43,no_op,60.2724609375,538.40771484375
21,43,no_op,60.28564453125,538.40771484375
22,43,no_op,60.3056640625,538.40771484375
23,43,no_op,60.318359375,538.40771484375
24,43,no_op,60.34130859375,538.40771484375
25,43,no_op,60.3525390625,538.40771484375
26,43,no_op,60.3740234375,538.40771484375
27,43,no_op,60.38525390625,538.40771484375
28,43,no_op,60.4130859375,538.40771484375
29,43,no_op,60.435546875,538.40771484375
1,43,error_only,59.92529296875,538.40771484375
2,43,error_only,59.947265625,538.40771484375
3,43,error_only,59.95849609375,538.40771484375
4,43,error_only,59.986328125,538.40771484375
5,43,error_only,60.0087890625,538.40771484375
6,43,error_only,60.02001953125,538.40771484375
7,43,error_only,60.04150390625,538.40771484375
