frame,seed,policy,n_gaussians,n_selected,fraction_selected,predicted_cost,scheduled_cost,budget_ms,jaccard_overlap,rejected_negative_count,norm_drift
22,44,no_op,5031,0,0.0,0.0,0.0,15.0,0.0,0,0.0
23,44,no_op,5097,0,0.0,0.0,0.0,15.0,0.0,0,0.0
24,44,no_op,5161,0,0.0,0.0,0.0,15.0,0.0,0,0.0
25,44,no_op,5231,0,0.0,0.0,0.0,15.0,0.0,0,0.0
26,44,no_op,5299,0,0.0,0.0,0.0,15.0,0.0,0,0.0
27,44,no_op,5372,0,0.0,0.0,0.0,15.0,0.0,0,0.0
28,44,no_op,5442,0,0.0,0.0,0.0,15.0,0.0,0,0.0
29,44,no_op,5506,0,0.0,0.0,0.0,15.0,0.0,0,0.0
1,44,error_only,3570,0,0.0,0.0,0.0,15.0,0.0,0,0.0
2,44,error_only,3638,0,0.0,0.0,0.0,15.0,0.0,0,0.0
3,44,error_only,3705,0,0.0,0.0,0.0,15.0,0.0,0,0.0
4,44,error_only,3767,0,0.0,0.0,0.0,15.0,0.0,0,0.0
5,44,error_only,3832,0,0.0,0.0,0.0,15.0,0.0,0,0.0
6,44,error_only,3907,0,0.0,0.0,0.0,15.0,0.0,0,0.0
7,44,error_only,3977,0,0.0,0.0,0.0,15.0,0.0,0,0.0
8,44,error_only,4045,0,0.0,0.0,0.0,15.0,0.0,0,0.0
9,44,error_only,4114,0,0.0,0.0,0.0,15.0,0.0,0,0.0
10,44,error_only,4182,0,0.0,0.0,0.0,15.0,0.0,0,0.0
11,44,error_only,4252,0,0.0,0.0,0.0,15.0,0.0,0,0.0
12,44,error_only,4320,0,0.0,0.0,0.0,15.0,0.0,0,0.0
13,44,error_only,4391,0,0.0,0.0,0.0,15.0,0.0,0,0.0
14,44,error_only,4459,0,0.0,0.0,0.0,15.0,0.0,0,0.0
15,44,error_only,4526,0,0.0,0.0,0.0,15.0,0.0,0,0.0
16,44,error_only,4594,0,0.0,0.0,0.0,15.0,0.0,0,0.0
17,44,error_only,4669,0,0.0,0.0,0.0,15.0,0.0,0,0.0
18,44,error_only,4736,0,0.0,0.0,0.0,15.0,0.0,0,0.0
19,44,error_only,4802,0,0.0,0.0,0.0,15.0,0.0,0,0.0
20,44,error_only,4868,0,0.0,0.0,0.0,15.0,0.0,0,0.0
21,44,error_only,4937,0,0.0,0.0,0.0,15.0,0.0,0,0.0
22,44,error_only,5006,0,0.0,0.0,0.0,15.0,0.0,0,0.0
23,44,error_only,5079,0,0.0,0.0,0.0,15.0,0.0,0,0.0
24,44,error_only,5147,0,0.0,0.0,0.0,15.0,0.0,0,0.0
25,44,error_only,5218,0,0.0,0.0,0.0,15.0,0.0,0,0.0
26,44,error_only,5283,0,0.0,0.0,0.0,15.0,0.0,0,0.0
27,44,error_only,5354,0,0.0,0.0,0.0,15.0,0.0,0,0.0
28,44,error_only,5427,0,0.0,0.0,0.0,15.0,0.0,0,0.0
29,44,error_only,5497,0,0.0,0.0,0.0,15.0,0.0,0,0.0
