seed,budget_pct,policy,latency_ms,delta_quality,delta_psnr_db,efficiency
43,40%,random,887.0130309951492,0.00010200411261881124,0.0007899509375306479,1.149973101346344e-07
43,40%,error_only,938.2150039964472,9.12493204586526e-05,0.0005970602587233031,9.725843231025341e-08
43,40%,error_influence,974.3358819978312,0.00012645850726054192,0.0008978888017239228,1.2978943873158458e-07
43,40%,heuristic,830.810872001166,9.3413810269588e-05,0.0006910858360047456,1.124369136438755e-07
43,40%,learned_utility,909.6537879959214,2.432043295287907e-05,0.0001786560080905275,2.6735922252860574e-08
43,60%,oracle_reference,1013.8835129982908,0.0001591248087776828,0.0014291515020818935,1.5694584904247382e-07
43,60%,no_op,0.0,0.0,0.0,0.0
43,60%,random,1086.0586929993588,0.00014313819991918116,0.001219299505695659,1.3179600774970793e-07
43,60%,random,1193.420925999817,5.187053275786867e-05,0.0007110400788832294,4.346373658096609e-08
43,60%,random,1084.6731409983477,0.00013349188032358778,0.0010158071816999126,1.230710665525654e-07
43,60%,random,1096.0966190032195,0.00014730268197513588,0.001235930057644552,1.3438841012856296e-07
43,60%,random,1220.484552999551,0.00011377390825939205,0.0008537458215638338,9.322027712663227e-08
43,60%,error_only,1026.4777230040636,0.0001279165134786183,0.0009876878926871058,1.246169406426679e-07
43,60%,error_influence,1060.2173910010606,0.00014460133031199592,0.0011733390387824727,1.3638837802449446e-07
43,60%,heuristic,1031.0473409990664,0.00010365357069024687,0.00079962593074967,1.0053230978687013e-07
43,60%,learned_utility,1061.6351509961532,5.730015365234822e-05,0.0006393866332210507,5.397348947854859e-08
43,80%,oracle_reference,1173.8138440050534,0.00016748952355518222,0.0015165424277689965,1.4268831843361795e-07
43,80%,no_op,0.0,0.0,0.0,0.0
43,80%,random,1234.7819580027135,0.00016378407960893738,0.0014787433686667129,1.3264210620137474e-07
43,80%,random,1238.067140999192,0.00013794965289565172,0.0012682842229878588,1.114234021139745e-07
43,80%,random,1217.7240629971493,0.00014791665431907928,0.001156103989087498,1.214697638108721e-07
43,80%,random,1175.7121640039259,0.00016845267463663018,0.0015180543969766092,1.4327713856677226e-07
43,80%,random,1298.9701619953848,0.0001468766512908781,0.0011833172567108363,1.1307161287312153e-07
43,80%,error_only,1172.818275001191,0.00015801369994671862,0.0014415494156398978,1.3472990941120708e-07
43,80%,error_influence,1208.5358049953356,0.00016303971636440938,0.0014037510092332894,1.349068150819401e-07
43,80%,heuristic,1186.314828999457,0.0001497059287202141,0.001328759944719593,1.261940970985558e-07
43,80%,learned_utility,1205.0270580002689,7.20869303876977e-05,0.0008643280019473565,5.982183545930104e-08
43,10%,oracle_reference,762.380646992824,5.1708428838670656e-05,0.0005603781265683949,6.782494944307967e-08
43,10%,no_op,0.0,0.0,0.0,0.0
43,10%,random,804.9024260035367,8.222424718654692e-06,2.0558670604131635e-05,1.0215430408727037e-08
43,10%,random,945.3047179995338,-3.833967641088371e-07,-0.00013147756875220296,-4.0558008101365065e-10
43,10%,random,787.3427329977858,4.228404707862702e-06,-1.0996458279066701e-05,5.370475309733497e-09
43,10%,random,754.1744510017452,2.313640798477648e-05,0.0003083902782030634,3.067779338592702e-08
43,10%,random,763.4339639989776,-1.2057952277682656e-05,-0.00026964425170028505,-1.579436185223062e-08
43,10%,error_only,750.3160330015817,-2.946383466356425e-06,-0.00013434612588447692,-3.9268566001044175e-09
43,10%,error_influence,775.2884689980419,3.408536206129094e-05,0.0004657016604951991,4.396474786390383e-08
43,10%,heuristic,757.0195959997363,-9.534435806430935e-06,-6.0719226391725556e-05,-1.259470145398225e-08
43,10%,learned_utility,812.2416510013863,9.321490349192136e-06,1.2430812452279838e-05,1.1476252587761256e-08
43,20%,oracle_reference,865.8537030059961,5.7292967063718147e-05,0.0007583446798964388,6.616933884421048e-08
43,20%,no_op,0.0,0.0,0.0,0.0
43,20%,random,899.0027870022459,1.8953584595634657e-05,0.00019985352794016364,2.108289859571626e-08
43,20%,random,849.7301079987665,1.2264421459976144e-05,7.50635241608677e-05,1.4433313995264421e-08
43,20%,random,856.0107040029834,8.610381739435088e-06,-1.7689940992937636e-05,1.0058731391056389e-08
43,20%,random,890.4686939931707,2.554241460762149e-05,0.00029213349972145863,2.8684236492448077e-08
43,20%,random,830.3026620051241,1.4719864060553326e-05,-0.00015012315623863515,1.772831129434881e-08
43,20%,error_only,857.1532599962666,-8.501189969122744e-07,-3.3467511215690138e-06,-9.917934593353553e-10
43,20%,error_influence,844.1777420011931,3.920767111134818e-05,0.00045183507864798855,4.6444805590826356e-08
43,20%,heuristic,848.8193779994617,-1.1167374070642642e-05,-0.00012621854242489405,-1.3156360893836384e-08
43,20%,learned_utility,938.3393629977945,3.248394353460444e-05,0.0003208219733945583,3.461854507608543e-08
43,40%,oracle_reference,932.2245889998158,8.272721845393683e-05,0.0009783181011542297,8.874172536329996e-08
43,40%,no_op,0.0,0.0,0.0,0.0
43,40%,random,912.177944999712,1.3877835625480786e-05,6.119818952399214e-05,1.5213956554809233e-08
43,40%,random,986.9441499977256,2.6061469309419946e-05,0.00013100342726701797,2.6406225022439217e-08
43,40%,random,1002.4016029929044,2.4607773490377603e-05,0.00011713791403344942,2.4548816978050853e-08
43,40%,random,1045.2276869982597,3.540653616274354e-05,0.0004790901263600489,3.38744721395832e-08
43,40%,random,1021.9505659988499,2.140720982101342e-05,-5.402580999636086e-05,2.094740248036372e-08
43,40%,error_only,998.0278430011822,4.9621022910281045e-05,0.0005116051438651681,4.97190767354396e-08
43,40%,error_influence,1005.9537429988268,3.22445230332898e-05,0.00026774844610244486,3.205368363873905e-08
43,40%,heuristic,951.1899490025826,3.7133168340329366e-05,0.0003533358059844005,3.9038646675427125e-08
43,40%,learned_utility,1002.2642099938821,5.223159227273891e-05,0.000527862743906482,5.211359614752455e-08
