scene,frame,split,gaussian_id,persistent_id,population,geometry_stratum,group_size,psnr_before,psnr_after,delta_psnr,ssim_before,ssim_after,delta_ssim,depth_before,depth_after,delta_depth,loss_before,loss_after,delta_loss,delta_quality,delta_time_ms,oracle_utility_joint,oracle_utility_rgb,oracle_utility_depth,oracle_utility_loss,predicted_importance,predicted_utility,modeled_marginal_cost_us,n_influence_pixels,filtered,filter_reason,visible,feat_rgb_error,feat_depth_error,feat_gradient_norm,feat_visibility_count,feat_visibility,feat_influence_mass,feat_position_drift,feat_residual_drift_ema,feat_temporal_drift,feat_uncertainty,feat_uncertainty_var,feat_projected_area,feat_age,feat_staleness,feat_update_frequency,feat_tier,feat_knn_density,feat_knn_error_mean,feat_knn_depth_var,feat_sh_degree
tum_fr1_desk,15,train,1841,1841,geometry_stratified,texture,1,8.276572225306545,8.357390909787561,0.08081868448101659,0.0,0.0,0.0,0.16094684600830078,0.1612110137939453,-0.00026416778564453125,0.1523816779255867,0.15054166913032532,0.0018400087952613886,0.006342926510284745,166.93371799919987,3.7996676682868505e-05,0.00048413637130758665,-1.5824711077590533e-06,1.10223915055328e-05,0.7917025089263916,1576.3392333984375,0.501241147518158,9,True,min_influence_pixels,True,0.35357317328453064,0.16124075651168823,0.3194734752178192,0.0,0.00011718750465661287,0.6205610632896423,0.0,0.0,0.0,0.2288784384727478,0.2288784384727478,0.6205610632896423,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,1436,1436,geometry_stratified,texture,1,9.718573421223986,9.753602678505583,0.03502925728159667,0.0,0.0,0.0,0.411161333322525,0.4091089069843292,0.0020524263381958008,0.19803465753793714,0.1968189492821693,0.0012157082557678334,0.004020587014627271,120.63258700072765,3.332919499275116e-05,0.0002903797236926153,1.7013863245620526e-05,1.0077776544413328e-05,0.6842575073242188,1342.1768798828125,0.5088117122650146,42,False,none,True,0.29457810521125793,0.41162699460983276,3.1114468574523926,0.0,0.0005468750023283064,4.4058685302734375,0.0,0.0,0.0,0.3207513093948364,0.3207513093948364,4.4058685302734375,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,498,498,geometry_stratified,texture,1,14.90200288669903,14.931170305075172,0.029167418376141896,0.24313192315244644,0.24440404345513353,0.0012721203026870853,0.23693953454494476,0.23197036981582642,0.004969164729118347,0.09372297227382659,0.0920806735754013,0.0016422986984252902,0.007661784353419015,68.81549700483447,0.00011133806608823525,0.0004238495636250772,7.220996643778146e-05,2.386524503790061e-05,0.7175337076187134,1375.894775390625,0.5205032825469971,65,False,none,True,0.16006653010845184,0.23710648715496063,4.071678161621094,0.0,0.0008463541744276881,10.251648902893066,0.0,0.0,0.0,0.27668166160583496,0.27668166160583496,10.251648902893066,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,3053,3053,geometry_stratified,texture,1,14.999435446061229,15.10976604222029,0.11033059615906105,0.0,0.0,0.0,0.21964304149150848,0.21922580897808075,0.0004172325134277344,0.08803173378109933,0.08735122103244067,0.0006805127486586571,0.005718833021563282,187.59531900286674,3.0484945210577934e-05,0.0005881308592640044,2.2241094055303076e-06,3.627557192129393e-06,0.6393648386001587,1206.92236328125,0.5287480354309082,132,False,none,True,0.15741990506649017,0.2177390605211258,5.392541408538818,0.0,0.0017187499906867743,14.374017715454102,0.0,0.0,0.0,0.2841367721557617,0.2841367721557617,14.374017715454102,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,1268,1268,geometry_stratified,texture,1,18.567039483507703,19.640155735566136,1.0731162520584334,1.0,1.0,0.0,0.13715600967407227,0.13575100898742676,0.0014050006866455078,0.05088310614228248,0.04833000935614109,0.002553096786141393,0.04353093384986661,141.5904480018071,0.0003074425885657981,0.007579015867262016,9.922990614646379e-06,1.803156090097835e-05,0.4067140817642212,811.6220092773438,0.5001126527786255,1,True,min_influence_pixels,True,0.1153167113661766,0.13715577125549316,0.014218541793525219,0.0,1.302083364862483e-05,0.05631719157099724,0.0,0.0,0.0,0.4776087999343872,0.4776087999343872,0.05631719157099724,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,1254,1254,geometry_stratified,texture,1,5.089854387507833,5.093506673651881,0.0036522861440477783,0.005119522417411826,0.005107202795722822,-1.2319621689004315e-05,0.14993129670619965,0.1493808627128601,0.0005504339933395386,0.26180600970983503,0.26145861148834226,0.00034739822149276733,0.001603665846322786,158.9358980054385,1.0090016581829182e-05,2.2979617505434825e-05,3.463245246965564e-06,2.1857756859993956e-06,0.6319155097007751,1216.968994140625,0.5182535648345947,80,False,none,True,0.5068913102149963,0.15020231902599335,5.997153282165527,0.0,0.0010416667209938169,9.126786231994629,0.0,0.0,0.0,0.4275355339050293,0.4275355339050293,9.126786231994629,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,149,149,geometry_stratified,depth_discontinuity,1,29.53230743253142,29.45919376927057,-0.07311366326085178,0.70994192909359,0.7005962959526562,-0.00934563314093384,0.0,0.0,0.0,0.0007795918616466224,0.0007928274222649633,-1.3235560618340926e-05,-0.00173300255659059,180.1122859978932,-9.621789801784323e-06,-0.00040593379211070036,0.0,-7.348505153332929e-08,0.30238932371139526,602.7113647460938,0.5007149577140808,6,True,min_influence_pixels,True,0.030200481414794922,0.0,0.010795621201395988,0.0,7.812499825377017e-05,0.3574652075767517,0.0,0.0,0.0,0.7252399921417236,0.7252399921417236,0.3574652075767517,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,1532,1532,geometry_stratified,depth_discontinuity,1,18.54745353241376,18.568398294847704,0.020944762433945385,0.13416162160722128,0.13722477032059743,0.0030631487133761515,0.0,0.0,0.0,0.009780311491340399,0.009733257442712783,4.705404862761532e-05,0.0007904769071473581,127.34010800340911,6.207603555088831e-06,0.00016447891212236648,0.0,3.6951475356339106e-07,0.22096846997737885,431.1734619140625,0.5114815831184387,65,False,none,True,0.11562027782201767,0.0,0.6637507677078247,0.0,0.0008463541744276881,5.740781784057617,0.0,0.0,0.0,0.6747006177902222,0.6747006177902222,5.740781784057617,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,2255,2255,geometry_stratified,depth_discontinuity,1,3.109170069777434,3.10587271901724,-0.0032973507601936625,0.05883800662697119,0.0582362131354676,-0.0006017934915035911,0.0,0.0,0.0,0.3421220242977142,0.342381876707077,-0.00025985240936277076,-0.0007423670884303827,86.19203299895162,-8.612943245455323e-06,-3.8255864787802016e-05,0.0,-3.0148077533561765e-06,0.35985997319221497,696.5321044921875,0.5156451463699341,57,False,none,True,0.7008793354034424,0.0,5.48268985748291,0.0,0.0007421874906867743,7.822587490081787,0.0,0.0,0.0,0.6734683513641357,0.6734683513641357,7.822587490081787,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,1239,1239,geometry_stratified,depth_discontinuity,1,22.751618004516953,22.845244178861527,0.09362617434457476,1.0,1.0,0.0,0.0,0.0,0.0,0.0037148068659007545,0.0036355793010443447,7.922756485640977e-05,0.002880600493037058,73.71678000345128,3.9076591420599136e-05,0.0012700795441715083,0.0,1.0747561797015616e-06,0.15967406332492828,318.617431640625,0.5001466274261475,1,True,min_influence_pixels,True,0.07065033167600632,0.0,0.005178938154131174,0.0,1.302083364862483e-05,0.07330380380153656,0.0,0.0,0.0,0.776590883731842,0.776590883731842,0.07330380380153656,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,2537,2537,geometry_stratified,depth_discontinuity,1,2.16650313205816,2.1714143192743944,0.004911187216234403,0.16291459895097898,0.16359123931759317,0.0006766403666141896,0.0,0.0,0.0,0.4250575423240661,0.42457714080810544,0.00048040151596068226,0.0015868110230231563,86.71641600085422,1.8298853852626072e-05,5.663503454969845e-05,0.0,5.539914333589962e-06,0.29941055178642273,590.79248046875,0.5057947635650635,27,False,none,True,0.7790393233299255,0.0,2.2571628093719482,0.0,0.0003515625139698386,2.897367000579834,0.0,0.0,0.0,0.7266019582748413,0.7266019582748413,2.897367000579834,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,3115,3115,geometry_stratified,depth_discontinuity,1,19.090712271415946,19.735790951248543,0.6450786798325971,0.0,0.0,0.0,0.0,0.0,0.0,0.008630318287760019,0.007439075130969286,0.001191243156790733,0.023653128781314266,116.12569200224243,0.00020368557873358045,0.005555003967770891,0.0,1.0258222243943481e-05,0.35972046852111816,698.005859375,0.5143544673919678,62,False,none,True,0.0890035554766655,0.0,0.6387998461723328,0.0,0.0008072917116805911,7.177239418029785,0.0,0.0,0.0,0.5120425224304199,0.5120425224304199,7.177239418029785,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,2973,2973,geometry_stratified,depth_discontinuity,1,25.764488344621157,26.420511580415493,0.6560232357943363,0.5012328692938626,0.49208178814801085,-0.009151081145851725,0.0,0.0,0.0,0.0018563044490292667,0.0015960514312610028,0.00026025301776826386,0.017823612831492763,151.23984600359108,0.00011784998003151599,0.004337634909908328,0.0,1.7207966329328604e-06,0.5390146374702454,1073.0712890625,0.5013101100921631,10,True,min_influence_pixels,True,0.04279576614499092,0.0,0.028033843263983727,0.0,0.0001302083401242271,0.6550611257553101,0.0,0.0,0.0,0.38189560174942017,0.38189560174942017,0.6550611257553101,0,15,0.5,1,0.0,0.0,0.0,0
