frame,config,policy,seed,densification_enabled,N_before,N_new,N_after,N_visible,N_optimized,PSNR,SSIM,depth_L1,coverage,opt_time_ms,frame_time_ms,delta_psnr_step,delta_psnr_cumul,has_nan_inf
15,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.553555488586426,0.3591780662536621,1.3793480396270752,0.8112369775772095,0.0,5669.91945799964,-0.03415226936340332,-1.088346242904663,False
16,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.518019199371338,0.3474017083644867,1.3964228630065918,0.8106510639190674,0.0,5619.03319600242,-0.03553628921508789,-1.123882532119751,False
17,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.504179000854492,0.34115347266197205,1.4090666770935059,0.8108724355697632,0.0,5611.542134000047,-0.013840198516845703,-1.1377227306365967,False
18,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.464081764221191,0.32286763191223145,1.4057201147079468,0.8108463883399963,0.0,5667.369751001388,-0.04009723663330078,-1.1778199672698975,False
19,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.440058708190918,0.3136575222015381,1.421609878540039,0.8107031583786011,0.0,5683.3380429998215,-0.024023056030273438,-1.201843023300171,False
20,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.444885492324829,0.30598723888397217,1.424498438835144,0.8102734684944153,0.0,5602.599808000377,0.004826784133911133,-1.1970162391662598,False
21,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.417155027389526,0.29213234782218933,1.4319705963134766,0.8095312714576721,0.0,5642.087217998778,-0.027730464935302734,-1.2247467041015625,False
22,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.401417016983032,0.28884363174438477,1.4348652362823486,0.8094140887260437,0.0,5677.583069998946,-0.01573801040649414,-1.2404847145080566,False
23,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.410176515579224,0.2916756868362427,1.4314640760421753,0.808789074420929,0.0,5653.3067649979785,0.008759498596191406,-1.2317252159118652,False
24,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.448253154754639,0.3083764314651489,1.4347059726715088,0.8082552552223206,0.0,5668.414906001999,0.03807663917541504,-1.1936485767364502,False
25,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.467091798782349,0.3273712396621704,1.4379076957702637,0.8069791793823242,0.0,5610.062366002239,0.01883864402770996,-1.1748099327087402,False
26,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.448269844055176,0.33438095450401306,1.436058521270752,0.8072656393051147,0.0,5685.814873999334,-0.01882195472717285,-1.193631887435913,False
27,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.465449094772339,0.34746062755584717,1.454829454421997,0.8068490028381348,0.0,5683.015958999022,0.017179250717163086,-1.17645263671875,False
28,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.523581504821777,0.3676271438598633,1.462035894393921,0.80643230676651,0.0,5625.710995002009,0.05813241004943848,-1.1183202266693115,False
29,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.508124828338623,0.3659064769744873,1.4478615522384644,0.8057552576065063,0.0,5647.633841999777,-0.015456676483154297,-1.1337769031524658,False
