frame,psnr_full,psnr_ours,psnr_error,psnr_random,delta_q_vs_error,delta_q_vs_random,opt_time_ours_ms,opt_time_err_ms
31,7.507737874984741,7.507737874984741,7.507737874984741,7.503522038459778,0.0,0.004215836524963379,63.83943557739258,113.98744583129883
32,7.53318727016449,7.53318727016449,7.53318727016449,7.516559362411499,0.0,0.016627907752990723,68.73393058776855,112.00523376464844
33,7.404528260231018,7.404528260231018,7.404528260231018,7.352195978164673,0.0,0.052332282066345215,67.68059730529785,117.74492263793945
34,7.262144684791565,7.262144684791565,7.262144684791565,7.278124094009399,0.0,-0.015979409217834473,68.47929954528809,118.14165115356445
35,7.177650332450867,7.177650332450867,7.177650332450867,7.162145972251892,0.0,0.01550436019897461,69.2605972290039,120.56517601013184
36,7.053391337394714,7.053391337394714,7.053391337394714,7.065710425376892,0.0,-0.012319087982177734,73.63176345825195,124.81260299682617
37,6.930944323539734,6.930944323539734,6.930944323539734,6.914826035499573,0.0,0.016118288040161133,71.40636444091797,124.00531768798828
38,6.8124014139175415,6.8124014139175415,6.8124014139175415,6.827000975608826,0.0,-0.01459956169128418,76.5385627746582,131.44326210021973
39,6.726819276809692,6.726819276809692,6.726819276809692,6.762517094612122,0.0,-0.0356978178024292,71.09355926513672,120.4538345336914
40,6.507889628410339,6.507889628410339,6.507889628410339,6.571702361106873,0.0,-0.0638127326965332,70.8150863647461,118.48616600036621
41,5.890122056007385,5.890122056007385,5.890122056007385,5.927975177764893,0.0,-0.037853121757507324,63.39287757873535,120.10884284973145
42,5.8827513456344604,5.8827513456344604,5.8827513456344604,5.8922600746154785,0.0,-0.009508728981018066,70.23239135742188,124.52292442321777
43,5.589222311973572,5.589222311973572,5.589222311973572,5.52123486995697,0.0,0.06798744201660156,77.03518867492676,125.45919418334961
44,5.351131558418274,5.351131558418274,5.351131558418274,5.275598168373108,0.0,0.07553339004516602,82.27396011352539,126.03092193603516
45,5.257270932197571,5.257270932197571,5.257270932197571,5.20851194858551,0.0,0.04875898361206055,84.53059196472168,134.95230674743652
46,5.157906413078308,5.157906413078308,5.157906413078308,5.098965764045715,0.0,0.05894064903259277,87.87178993225098,127.55370140075684
47,5.181820392608643,5.181820392608643,5.181820392608643,5.131558775901794,0.0,0.050261616706848145,87.59379386901855,124.70698356628418
48,5.3849828243255615,5.3849828243255615,5.3849828243255615,5.22692084312439,0.0,0.15806198120117188,91.56298637390137,121.27900123596191
