seed,domain,method,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg,overlap,budget_cost,budget_realized_delta_q,budget_ose
43,tum_fr1_desk_val,oracle,0.1,0.16360601782798767,0.16360601782798767,0.9999999388775577,0.998739452264341,1.0,251.32350540161133,0.16360603272914886,0.9999999388775632
43,tum_fr1_desk_val,oracle,0.2,0.3228396475315094,0.3228396475315094,0.9999999690248711,0.9989926246988766,1.0,530.509147644043,0.36247873306274414,0.9999999724121754
43,tum_fr1_desk_val,oracle,0.4,0.4132879376411438,0.4132879376411438,0.9999999758037947,0.9990766569230294,1.0,1048.438117980957,0.40755602717399597,0.9999999754634968
43,tum_fr1_desk_val,oracle,0.6,0.4989584982395172,0.4989584982395172,0.9999999799582534,0.9991094462870126,1.0,1584.0334014892578,0.5129837393760681,0.999999980506205
43,tum_fr1_desk_val,oracle,0.8,0.5010955333709717,0.5010955333709717,0.9999999800437258,0.9991310755768219,1.0,2102.453540802002,0.5051670074462891,0.9999999802045666
43,tum_fr2_xyz,random,0.1,0.06223848834633827,0.08183559775352478,0.7605306547461618,0.12503826816188904,0.0,254.8382797241211,0.06223848834633827,0.9254783415260832
43,tum_fr2_xyz,random,0.2,0.1587083637714386,0.19038072228431702,0.8336366914190744,0.24424307493285272,0.125,515.3239288330078,0.18534241616725922,0.9735355775944096
43,tum_fr2_xyz,random,0.4,0.20868593454360962,0.337510347366333,0.6183097199506158,0.29178678644322315,0.375,1054.0091762542725,0.2232714593410492,0.6534091396775767
43,tum_fr2_xyz,random,0.6,0.3051438331604004,0.3901675343513489,0.7820841009923061,0.38858734168662196,0.5416666666666666,1579.4593715667725,0.301021009683609,0.7508243160177444
43,tum_fr2_xyz,random,0.8,0.3725789189338684,0.47540831565856934,0.7837029745277297,0.44999291006496145,0.78125,2084.321508407593,0.3725789189338684,0.7837029253990839
43,tum_fr2_xyz,error_only,0.1,0.03409142047166824,0.08183559775352478,0.4165841912526137,0.3705965139976613,0.25,259.6139621734619,0.057252537459135056,0.8513378911291896
43,tum_fr2_xyz,error_only,0.2,0.08881880342960358,0.19038072228431702,0.46653252334884626,0.48518813149237333,0.5,525.0731983184814,0.09914358705282211,0.5207648161829729
