seed,domain,method,budget_fraction,regret,oracle_delta_q,realized_delta_q,budget_regret
42,tum_fr2_xyz,learned,0.6,0.06531725823879242,0.23266978561878204,0.16735252737998962,0.07536779344081879
42,tum_fr2_xyz,learned,0.8,0.07002496719360352,0.2437291443347931,0.17370417714118958,0.08642715215682983
42,tum_fr2_xyz,oracle,0.1,0.0,0.09468899667263031,0.09468899667263031,-7.450580596923828e-09
42,tum_fr2_xyz,oracle,0.2,0.0,0.14261093735694885,0.14261093735694885,-0.008362561464309692
42,tum_fr2_xyz,oracle,0.4,0.0,0.23647519946098328,0.23647519946098328,-0.012992322444915771
42,tum_fr2_xyz,oracle,0.6,0.0,0.23266978561878204,0.23266978561878204,-0.009610205888748169
42,tum_fr2_xyz,oracle,0.8,0.0,0.2437291443347931,0.2437291443347931,-0.0024254024028778076
43,tum_fr1_desk_val,random,0.1,0.10035861283540726,0.16360601782798767,0.06324740499258041,0.10035861283540726
43,tum_fr1_desk_val,random,0.2,0.15960340201854706,0.3228396475315094,0.16323624551296234,0.15960340201854706
43,tum_fr1_desk_val,random,0.4,0.222364604473114,0.4132879376411438,0.19092333316802979,0.18272553384304047
43,tum_fr1_desk_val,random,0.6,0.257718026638031,0.4989584982395172,0.2412404716014862,0.2577180415391922
43,tum_fr1_desk_val,random,0.8,0.08697670698165894,0.5010955333709717,0.41411882638931274,0.07812315225601196
43,tum_fr1_desk_val,error_only,0.1,0.10444492101669312,0.16360601782798767,0.059161096811294556,0.09172643721103668
43,tum_fr1_desk_val,error_only,0.2,0.2151031568646431,0.3228396475315094,0.1077364906668663,0.21887537091970444
43,tum_fr1_desk_val,error_only,0.4,0.3358437791466713,0.4132879376411438,0.0774441584944725,0.3313157632946968
43,tum_fr1_desk_val,error_only,0.6,0.2905013859272003,0.4989584982395172,0.2084571123123169,0.27650582790374756
43,tum_fr1_desk_val,error_only,0.8,0.1985464096069336,0.5010955333709717,0.3025491237640381,0.23649027943611145
43,tum_fr1_desk_val,heuristic,0.1,0.1475707646459341,0.16360601782798767,0.016035253182053566,0.14878516551107168
43,tum_fr1_desk_val,heuristic,0.2,0.24494066834449768,0.3228396475315094,0.07789897918701172,0.24956943094730377
43,tum_fr1_desk_val,heuristic,0.4,0.09407702088356018,0.4132879376411438,0.3192109167575836,0.09407702088356018
