experiment,variant,beta,seed,domain,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg
sensitivity,B2_beta_0.80,0.8,46,tum_fr2_xyz,0.1,0.024367643520236015,0.06018306314945221,0.4048919778444018,0.24899779260605184
sensitivity,B2_beta_0.80,0.8,46,tum_fr2_xyz,0.2,0.04354512691497803,0.09243206679821014,0.471104062824879,0.34685597693514053
sensitivity,B2_beta_0.80,0.8,46,tum_fr2_xyz,0.4,0.07593094557523727,0.17216911911964417,0.4410253218070887,0.37308490640883146
sensitivity,B2_beta_0.80,0.8,46,tum_fr2_xyz,0.6,0.14152756333351135,0.23603671789169312,0.5995997512660494,0.4362992255456478
sensitivity,B2_beta_0.80,0.8,46,tum_fr2_xyz,0.8,0.1495063304901123,0.2549758553504944,0.5863548312096057,0.4882817626793523
sensitivity,B2_beta_0.90,0.9,42,tum_fr1_desk_val,0.1,0.05306234583258629,0.14877355098724365,0.35666515932314097,0.3838752839049028
sensitivity,B2_beta_0.90,0.9,42,tum_fr1_desk_val,0.2,0.1867445707321167,0.22372642159461975,0.8347005286817778,0.5353709373151184
sensitivity,B2_beta_0.90,0.9,42,tum_fr1_desk_val,0.4,0.26380670070648193,0.37412458658218384,0.705130598513139,0.6203145245313444
sensitivity,B2_beta_0.90,0.9,42,tum_fr1_desk_val,0.6,0.3261391520500183,0.4049728810787201,0.8053357625526154,0.6660694948534839
sensitivity,B2_beta_0.90,0.9,42,tum_fr1_desk_val,0.8,0.4076228439807892,0.44048771262168884,0.9253897964617608,0.6805916872128321
sensitivity,B2_beta_0.90,0.9,42,tum_fr2_xyz,0.1,0.0747782289981842,0.09468899667263031,0.7897245057888935,0.684069561018027
sensitivity,B2_beta_0.90,0.9,42,tum_fr2_xyz,0.2,0.09795888513326645,0.14344912767410278,0.6828823562245171,0.6684974309559377
sensitivity,B2_beta_0.90,0.9,42,tum_fr2_xyz,0.4,0.16796359419822693,0.23647519946098328,0.7102799256678097,0.7933841184736002
sensitivity,B2_beta_0.90,0.9,42,tum_fr2_xyz,0.6,0.17411351203918457,0.23266978561878204,0.7483288132700342,0.8339452860874934
sensitivity,B2_beta_0.90,0.9,42,tum_fr2_xyz,0.8,0.18181881308555603,0.2437291443347931,0.745987133060843,0.8480810683263317
sensitivity,B2_beta_0.90,0.9,43,tum_fr1_desk_val,0.1,0.12577305734157562,0.22852715849876404,0.5503636970947542,0.7259943537602894
sensitivity,B2_beta_0.90,0.9,43,tum_fr1_desk_val,0.2,0.26018136739730835,0.3096950054168701,0.8401212626786612,0.795008988233768
sensitivity,B2_beta_0.90,0.9,43,tum_fr1_desk_val,0.4,0.30881041288375854,0.436788409948349,0.7070022893928276,0.8117582042654732
sensitivity,B2_beta_0.90,0.9,43,tum_fr1_desk_val,0.6,0.4650680124759674,0.4868185222148895,0.955321093385736,0.8236180468662458
sensitivity,B2_beta_0.90,0.9,43,tum_fr1_desk_val,0.8,0.5197800993919373,0.5047381520271301,1.0298014663769341,0.8505016991101026
sensitivity,B2_beta_0.90,0.9,43,tum_fr2_xyz,0.1,0.04288620129227638,0.08183559775352478,0.5240530677238016,0.5655172468465169
sensitivity,B2_beta_0.90,0.9,43,tum_fr2_xyz,0.2,0.11156393587589264,0.19038072228431702,0.5860043426520791,0.6105264305142744
sensitivity,B2_beta_0.90,0.9,43,tum_fr2_xyz,0.4,0.1743624210357666,0.337510347366333,0.5166135415705599,0.6152039658494624
sensitivity,B2_beta_0.90,0.9,43,tum_fr2_xyz,0.6,0.3364129066467285,0.3901675343513489,0.8622267831272662,0.6946754147065118
sensitivity,B2_beta_0.90,0.9,43,tum_fr2_xyz,0.8,0.427410364151001,0.47540831565856934,0.8990384498608051,0.7553566583591211
sensitivity,B2_beta_0.90,0.9,44,tum_fr1_desk_val,0.1,0.14109469950199127,0.17743204534053802,0.7952041091514949,0.8147149091414477
sensitivity,B2_beta_0.90,0.9,44,tum_fr1_desk_val,0.2,0.15447059273719788,0.22170570492744446,0.6967370813501583,0.8016148601910761
sensitivity,B2_beta_0.90,0.9,44,tum_fr1_desk_val,0.4,0.24477484822273254,0.36898475885391235,0.6633738541106103,0.8286921476869995
sensitivity,B2_beta_0.90,0.9,44,tum_fr1_desk_val,0.6,0.3367002010345459,0.5344743728637695,0.6299650868774497,0.8488864831007121
sensitivity,B2_beta_0.90,0.9,44,tum_fr1_desk_val,0.8,0.398575097322464,0.5601627826690674,0.7115344013181073,0.8618888553319606
sensitivity,B2_beta_0.90,0.9,44,tum_fr2_xyz,0.1,0.0445224829018116,0.10548802465200424,0.4220619243565146,0.7757347911212776
sensitivity,B2_beta_0.90,0.9,44,tum_fr2_xyz,0.2,0.09262783825397491,0.19699403643608093,0.4702062825235181,0.8027804000208465
sensitivity,B2_beta_0.90,0.9,44,tum_fr2_xyz,0.4,0.16191869974136353,0.302217960357666,0.5357679410980676,0.7508304460586912
sensitivity,B2_beta_0.90,0.9,44,tum_fr2_xyz,0.6,0.29286545515060425,0.3939777612686157,0.7433552766379993,0.8036807601622281
sensitivity,B2_beta_0.90,0.9,44,tum_fr2_xyz,0.8,0.37443235516548157,0.4344448447227478,0.8618639422129541,0.8436850123831381
sensitivity,B2_beta_0.90,0.9,45,tum_fr1_desk_val,0.1,0.050230249762535095,0.4239445924758911,0.11848305054288688,0.03540039653132117
sensitivity,B2_beta_0.90,0.9,45,tum_fr1_desk_val,0.2,0.2047848105430603,0.5745325684547424,0.3564372469422842,0.20870827295609698
sensitivity,B2_beta_0.90,0.9,45,tum_fr1_desk_val,0.4,0.4266049265861511,0.8934377431869507,0.47748701581550984,0.34537681281764177
sensitivity,B2_beta_0.90,0.9,45,tum_fr1_desk_val,0.6,0.49478572607040405,1.0196146965026855,0.48526734943588307,0.3894093690638224
sensitivity,B2_beta_0.90,0.9,45,tum_fr1_desk_val,0.8,0.7068386077880859,1.098691701889038,0.6433457175833077,0.4536598826293276
sensitivity,B2_beta_0.90,0.9,45,tum_fr2_xyz,0.1,0.06322695314884186,0.07897429913282394,0.8006015353993513,0.5456360525124605
sensitivity,B2_beta_0.90,0.9,45,tum_fr2_xyz,0.2,0.11442067474126816,0.17670920491218567,0.6475082513276326,0.7157521560478738
sensitivity,B2_beta_0.90,0.9,45,tum_fr2_xyz,0.4,0.13296814262866974,0.404036283493042,0.32909950113419606,0.7826585676659521
sensitivity,B2_beta_0.90,0.9,45,tum_fr2_xyz,0.6,0.2072892189025879,0.483527272939682,0.42870221850221085,0.8076743474956728
sensitivity,B2_beta_0.90,0.9,45,tum_fr2_xyz,0.8,0.2605910003185272,0.5111280679702759,0.5098350326465172,0.8296645297272084
sensitivity,B2_beta_0.90,0.9,46,tum_fr1_desk_val,0.1,0.03237529098987579,0.2551996409893036,0.1268625990057987,0.08947684292310551
sensitivity,B2_beta_0.90,0.9,46,tum_fr1_desk_val,0.2,0.05868542939424515,0.33358636498451233,0.175922740840269,0.1350795436054349
sensitivity,B2_beta_0.90,0.9,46,tum_fr1_desk_val,0.4,0.27877113223075867,0.5427982211112976,0.5135815046044213,0.3393594471016499
sensitivity,B2_beta_0.90,0.9,46,tum_fr1_desk_val,0.6,0.35308122634887695,0.6048338413238525,0.5837656499814904,0.388909574621303
sensitivity,B2_beta_0.90,0.9,46,tum_fr1_desk_val,0.8,0.5976654291152954,0.6498000621795654,0.9197681790194335,0.49733592250574027
sensitivity,B2_beta_0.90,0.9,46,tum_fr2_xyz,0.1,0.028163358569145203,0.06018306314945221,0.4679614565246166,0.2903898705478911
sensitivity,B2_beta_0.90,0.9,46,tum_fr2_xyz,0.2,0.04710858315229416,0.09243206679821014,0.5096562230786789,0.3545168448659169
sensitivity,B2_beta_0.90,0.9,46,tum_fr2_xyz,0.4,0.07593094557523727,0.17216911911964417,0.4410253218070887,0.37695804129570043
sensitivity,B2_beta_0.90,0.9,46,tum_fr2_xyz,0.6,0.14152756333351135,0.23603671789169312,0.5995997512660494,0.4395225456801005
sensitivity,B2_beta_0.90,0.9,46,tum_fr2_xyz,0.8,0.14782525599002838,0.2549758553504944,0.5797617581837604,0.48902713187718794
sensitivity,B2_beta_0.95,0.95,42,tum_fr1_desk_val,0.1,0.05306234583258629,0.14877355098724365,0.35666515932314097,0.3838752839049028
sensitivity,B2_beta_0.95,0.95,42,tum_fr1_desk_val,0.2,0.1867445707321167,0.22372642159461975,0.8347005286817778,0.5353709373151184
sensitivity,B2_beta_0.95,0.95,42,tum_fr1_desk_val,0.4,0.2695666551589966,0.37412458658218384,0.7205264171926236,0.6271598685367549
sensitivity,B2_beta_0.95,0.95,42,tum_fr1_desk_val,0.6,0.3261391520500183,0.4049728810787201,0.8053357625526154,0.6664913870553338
sensitivity,B2_beta_0.95,0.95,42,tum_fr1_desk_val,0.8,0.4076228439807892,0.44048771262168884,0.9253897964617608,0.6809932979491367
sensitivity,B2_beta_0.95,0.95,42,tum_fr2_xyz,0.1,0.0747782289981842,0.09468899667263031,0.7897245057888935,0.684069561018027
sensitivity,B2_beta_0.95,0.95,42,tum_fr2_xyz,0.2,0.09795888513326645,0.14344912767410278,0.6828823562245171,0.6684974309559377
sensitivity,B2_beta_0.95,0.95,42,tum_fr2_xyz,0.4,0.17530424892902374,0.23647519946098328,0.741321888787449,0.792230963324925
sensitivity,B2_beta_0.95,0.95,42,tum_fr2_xyz,0.6,0.2073705792427063,0.23266978561878204,0.8912655752810852,0.8327899028735934
sensitivity,B2_beta_0.95,0.95,42,tum_fr2_xyz,0.8,0.18181881308555603,0.2437291443347931,0.745987133060843,0.8478672238276772
sensitivity,B2_beta_0.95,0.95,43,tum_fr1_desk_val,0.1,0.10980022698640823,0.22852715849876404,0.48046903004008507,0.692769706873331
