config,base_type,beta,seed,domain,step,frame,n_samples,latency_ms,t_norm_per_cand_us,d_norm,mu_l2_shift,sigma_l2_shift,mean_mu,mean_sigma,overlap_20,per_frame_rho
B2_beta_0.95,sequential_stream,0.95,42,stream_tum_fr2_xyz,3,3,4,0.06116500298958272,15.29125074739568,0.19241414964199066,1.6756787300109863,4.464389324188232,10.089240074157715,11.731561660766602,1.0,-0.39999999999999997
B2_beta_0.95,sequential_stream,0.95,42,stream_tum_fr2_xyz,4,4,4,0.0606319990765769,15.157999769144226,0.20499104261398315,1.7853890657424927,4.568322658538818,9.890645980834961,11.235169410705566,0.0,0.7999999999999999
B2_beta_0.95,sequential_stream,0.95,42,stream_tum_fr2_xyz,5,5,4,0.06286099960561842,15.715249901404604,0.5915172696113586,6.085467338562012,4.615637302398682,10.40473747253418,11.568912506103516,0.0,0.0
B2_beta_0.95,sequential_stream,0.95,42,stream_tum_fr2_xyz,6,6,4,0.06042800305294804,15.10700076323701,0.3311407268047333,3.3083415031433105,0.7590298652648926,10.678715705871582,11.4370756149292,0.0,0.39999999999999997
B2_beta_0.95,sequential_stream,0.95,42,stream_tum_fr2_xyz,7,7,4,0.06067299909773283,15.168249774433207,0.12443483620882034,1.025713324546814,1.227504014968872,10.737207412719727,11.262843132019043,0.0,0.19999999999999998
B2_beta_0.95,sequential_stream,0.95,42,stream_tum_fr2_xyz,8,8,4,0.059450998378451914,14.862749594612978,0.2706510126590729,2.357736825942993,4.195523262023926,10.468862533569336,10.79921817779541,0.0,0.0
B2_beta_0.95,sequential_stream,0.95,42,stream_tum_fr2_xyz,9,9,4,0.046159999328665435,11.539999832166359,0.20603390038013458,1.7740663290023804,4.754146575927734,10.264482498168945,10.283781051635742,1.0,0.0
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,0,0,4,0.041671002691145986,10.417750672786497,0.43927380442619324,3.9031870365142822,19.608322143554688,9.027362823486328,9.936140060424805,1.0,-0.39999999999999997
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,1,1,4,0.061656999605474994,15.414249901368748,1.624409556388855,13.111442565917969,11.607003211975098,10.631916046142578,11.33151912689209,1.0,-0.7999999999999999
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,2,2,4,0.06465000114985742,16.162500287464354,1.1712613105773926,10.19972038269043,13.952067375183105,11.79620361328125,12.949947357177734,1.0,-0.19999999999999998
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,3,3,4,0.062004997744224966,15.501249436056241,0.7761229872703552,6.269362449645996,21.093338012695312,11.02026081085205,10.561809539794922,0.0,0.19999999999999998
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,4,4,4,0.06292000034591183,15.730000086477958,1.3057106733322144,11.179152488708496,14.920848846435547,9.716313362121582,8.83376407623291,0.0,0.0
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,5,5,4,0.058426998293725774,14.606749573431443,2.817624568939209,27.584754943847656,40.26340103149414,12.307700157165527,12.65966510772705,0.0,0.0
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,6,6,4,0.04653699943446554,11.634249858616386,0.3014114201068878,1.7129091024398804,10.119393348693848,12.006287574768066,13.47305679321289,1.0,1.0
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,7,7,4,0.06053899778635241,15.134749446588103,1.3378770351409912,13.045269012451172,22.89141273498535,13.160400390625,15.591205596923828,0.0,0.7999999999999999
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,8,8,4,0.06057199789211154,15.142999473027885,1.6145656108856201,15.4556884765625,24.982465744018555,11.552892684936523,13.020468711853027,0.0,0.0
B2_beta_0.80,sequential_stream,0.8,43,stream_tum_fr2_xyz,9,9,4,0.04547299977275543,11.368249943188857,0.8968822360038757,8.45179271697998,12.46017837524414,10.663039207458496,11.719635009765625,1.0,0.0
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,0,0,4,0.03699200169648975,9.248000424122438,0.2196376472711563,1.9516011476516724,9.80416488647461,9.211437225341797,10.965489387512207,1.0,-0.19999999999999998
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,1,1,4,0.06784400102333166,16.961000255832914,0.798288106918335,6.371944427490234,4.875080108642578,9.995305061340332,11.560243606567383,1.0,-0.7999999999999999
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,2,2,4,0.05969000267214142,14.922500668035354,0.649928629398346,5.567005634307861,6.643693447113037,10.64111042022705,12.346585273742676,1.0,-0.19999999999999998
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,3,3,4,0.060771999415010214,15.192999853752553,0.27246254682540894,2.2009975910186768,10.142305374145508,10.368647575378418,11.21285343170166,0.0,-0.7999999999999999
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,4,4,4,0.06033599856891669,15.083999642229173,0.5875853896141052,5.0606770515441895,8.150477409362793,9.78183650970459,10.28372573852539,0.0,-0.39999999999999997
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,5,5,4,0.057964000006904826,14.491000001726206,1.4056097269058228,13.711008071899414,18.769264221191406,11.070977210998535,12.051681518554688,0.0,0.0
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,6,6,4,0.046666002162965015,11.666500540741254,0.14515866339206696,0.8353927731513977,5.848329544067383,11.043943405151367,12.519174575805664,0.0,0.39999999999999997
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,7,7,4,0.0844489986775443,21.112249669386074,0.7700515985488892,7.625607490539551,12.654924392700195,11.717232704162598,13.673638343811035,0.0,0.7999999999999999
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,8,8,4,0.06004000169923529,15.010000424808823,0.6629290580749512,6.093936920166016,10.275160789489746,11.057795524597168,12.580025672912598,0.0,0.0
B2_beta_0.90,sequential_stream,0.9,43,stream_tum_fr2_xyz,9,9,4,0.04530700243776664,11.32675060944166,0.3992510735988617,3.5320448875427246,5.48877477645874,10.662376403808594,11.973650932312012,0.0,0.0
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,0,0,4,0.037452002288773656,9.363000572193414,0.10981819033622742,0.9757930040359497,4.902082443237305,9.303475379943848,11.480164527893066,1.0,-0.39999999999999997
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,1,1,4,0.05912300184718333,14.780750461795833,0.3956649899482727,3.140157699584961,2.2096452713012695,9.69080924987793,11.751809120178223,1.0,-0.7999999999999999
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,2,2,4,0.062376002460950986,15.594000615237746,0.34036874771118164,2.8938980102539062,3.2030348777770996,10.028935432434082,12.135400772094727,1.0,-0.39999999999999997
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,3,3,4,0.06308500087470748,15.771250218676869,0.1056223139166832,0.8578007817268372,5.017282962799072,9.92331314086914,11.579092979431152,0.0,-0.39999999999999997
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,4,4,4,0.06304599810391665,15.761499525979161,0.27148324251174927,2.353120803833008,4.277499675750732,9.652173042297363,11.09621810913086,1.0,0.39999999999999997
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,5,5,4,0.06558299719472416,16.39574929868104,0.708300769329071,6.897409439086914,8.990036010742188,10.303226470947266,11.939569473266602,0.0,0.0
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,6,6,4,0.04833800267078914,12.084500667697284,0.10328667610883713,0.7484611868858337,3.019427537918091,10.32809829711914,12.178923606872559,0.0,0.39999999999999997
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,7,7,4,0.06843500159448013,17.10875039862003,0.41886958479881287,4.190250396728516,6.562500953674316,10.70053482055664,12.773165702819824,0.0,0.7999999999999999
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,8,8,4,0.06053399920347147,15.133499800867867,0.2805950939655304,2.502307415008545,4.606139183044434,10.421650886535645,12.271384239196777,0.0,0.0
B2_beta_0.95,sequential_stream,0.95,43,stream_tum_fr2_xyz,9,9,4,0.05079000038676895,12.697500096692238,0.1678728461265564,1.404730200767517,2.4999263286590576,10.255748748779297,11.983628273010254,0.0,0.0
B2_beta_0.80,sequential_stream,0.8,44,stream_tum_fr2_xyz,0,0,4,0.03853399903164245,9.633499757910613,0.41672417521476746,2.745668411254883,1.19699227809906,9.80176830291748,12.072444915771484,1.0,-0.7999999999999999
