beta,seed,domain,n_candidates,spearman_rho,spearman_pval,pearson_r,ndcg_20pct,ose_20pct,regret_20pct,dq_10pct,dq_20pct,dq_40pct,dq_60pct,dq_80pct,d_norm,mu_shift,sigma_shift,t_ema_ms,t_infer_ms,t_selection_ms,t_total_ms
0.9,45,tum_fr2_xyz,40,0.2433395872420263,0.13026454283231093,0.32147055864334106,0.7157521560478738,0.6475082513276326,0.06228853017091751,0.06322695314884186,0.11442067474126816,0.13296814262866974,0.2072892189025879,0.2605910003185272,0.137508362531662,0.9785178303718567,4.670731544494629,0.05576799958362244,0.2620409977680538,1.6390320015489124,1.9568409989005886
0.9,46,tum_fr1_desk_val,40,-0.11500938086303941,0.47977274206873655,0.08429361134767532,0.1350795436054349,0.175922740840269,0.2749009355902672,0.03237529098987579,0.05868542939424515,0.27877113223075867,0.35308122634887695,0.5976654291152954,0.2327231913805008,1.9930922985076904,0.7520707249641418,0.0579169973207172,0.25506000019959174,1.6506730025867,1.963650000107009
0.9,46,tum_fr2_xyz,40,0.04371482176360226,0.7888242303415803,-0.3083796501159668,0.3545168448659169,0.5096562230786789,0.045323483645915985,0.028163358569145203,0.04710858315229416,0.07593094557523727,0.14152756333351135,0.14782525599002838,0.1513056457042694,1.0740834474563599,1.4522342681884766,0.05624799814540893,0.2602029999252409,1.599699000507826,1.9161499985784758
0.95,42,tum_fr1_desk_val,40,0.4123827392120076,0.00818695055443484,0.27144765853881836,0.5353709373151184,0.8347005286817778,0.03698185086250305,0.05306234583258629,0.1867445707321167,0.2695666551589966,0.3261391520500183,0.4076228439807892,0.17000748217105865,1.6190664768218994,1.827921748161316,0.054661999456584454,0.2310150011908263,1.6056919994298369,1.8913690000772476
0.95,42,tum_fr2_xyz,40,0.45178236397748606,0.0034290561109604663,0.3613986670970917,0.6684974309559377,0.6828823562245171,0.045490242540836334,0.0747782289981842,0.09795888513326645,0.17530424892902374,0.2073705792427063,0.18181881308555603,0.15581528842449188,1.442080020904541,0.9456817507743835,0.0532020021637436,0.32860899955267087,1.5714969995315187,1.9533080012479331
0.95,43,tum_fr1_desk_val,40,0.4467166979362102,0.003857146449512124,0.5523895621299744,0.7908820151151358,0.8345186823236752,0.05124872922897339,0.10980022698640823,0.25844627618789673,0.30881041288375854,0.4650680124759674,0.5197800993919373,0.05495510250329971,0.44547560811042786,1.381187915802002,0.054489999456563964,0.22793300013290718,1.5109809974092059,1.793403996998677
0.95,43,tum_fr2_xyz,40,0.22495309568480304,0.16284253121694395,0.23699915409088135,0.6105264305142744,0.5860043426520791,0.07881678640842438,0.04288620129227638,0.11156393587589264,0.1743624210357666,0.3364129066467285,0.427410364151001,0.14329896867275238,1.2517335414886475,2.558410167694092,0.054045001888880506,0.19886099835275672,1.5408939980261493,1.7937999982677866
0.95,44,tum_fr1_desk_val,40,0.2692307692307693,0.09296706732970737,0.4994860291481018,0.7987894454097452,0.6529285278735335,0.07694771885871887,0.14109469950199127,0.14475798606872559,0.2404797226190567,0.3367002010345459,0.398575097322464,0.1166929230093956,1.095763921737671,2.7466952800750732,0.05224499909672886,0.19138099742121994,1.5946950006764382,1.838320997194387
0.95,44,tum_fr2_xyz,40,0.351219512195122,0.026269987173822028,0.4502946436405182,0.7505686417342127,0.4702062825235181,0.10436619818210602,0.0445224829018116,0.09262783825397491,0.16191869974136353,0.29286545515060425,0.37443235516548157,0.038043513894081116,0.2058635950088501,0.27843254804611206,0.06272999962675385,0.22390400044969283,1.6765360014687758,1.9631700015452225
0.95,45,tum_fr1_desk_val,40,-0.03133208255159475,0.8478011248622941,0.099443718791008,0.21587467263669502,0.3564372469422842,0.36974775791168213,0.050230249762535095,0.2047848105430603,0.34714680910110474,0.584175705909729,0.7068386077880859,0.07785537093877792,0.608407735824585,1.4483741521835327,0.0576940001337789,0.23824899835744873,1.7180909999297,2.0140339984209277
0.95,45,tum_fr2_xyz,40,0.27936210131332084,0.0808526019530224,0.3341366946697235,0.7760014997797433,0.6475082513276326,0.06228853017091751,0.067080557346344,0.11442067474126816,0.13296814262866974,0.2072892189025879,0.2605910003185272,0.06875410676002502,0.4892587959766388,2.335362195968628,0.05556299947784282,0.2797429988277145,1.6881449992069975,2.0234509975125547
0.95,46,tum_fr1_desk_val,40,-0.14258911819887432,0.3800993262677639,0.06913360953330994,0.13468422700475352,0.175922740840269,0.2749009355902672,0.03237529098987579,0.05868542939424515,0.27877113223075867,0.3737340569496155,0.5269385576248169,0.11636161804199219,0.9965461492538452,0.3760378956794739,0.05439300002763048,0.20213599782437086,1.5524760019616224,1.8090049998136237
0.95,46,tum_fr2_xyz,40,0.02213883677298312,0.8921416078965296,-0.32628047466278076,0.3545168448659169,0.5096562230786789,0.045323483645915985,0.028163358569145203,0.04710858315229416,0.07593094557523727,0.14152756333351135,0.14782525599002838,0.07565315067768097,0.5370452404022217,0.7261102795600891,0.0614119999227114,0.377480002498487,2.74553700000979,3.1844290024309885
