variant,seed,domain,method,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg,overlap,regret,budget_cost,budget_realized_delta_q,budget_ose
A1_standard,43,tum_fr1_desk_val,oracle,0.1,0.22852715849876404,0.22852715849876404,0.9999999562415267,0.9989876790748009,1.0,0.0,241.42314910888672,0.22852717339992523,0.9999999562415296
A1_standard,43,tum_fr1_desk_val,oracle,0.2,0.3096950054168701,0.3096950054168701,0.9999999677101681,0.9990987107092182,1.0,0.0,500.73659896850586,0.29389238357543945,0.9999999659739408
A1_standard,43,tum_fr1_desk_val,oracle,0.4,0.436788409948349,0.436788409948349,0.9999999771056202,0.9991453360471639,1.0,0.0,1000.5396575927734,0.47600993514060974,0.9999999789920355
A1_standard,43,tum_fr1_desk_val,oracle,0.6,0.4868185222148895,0.4868185222148895,0.9999999794584649,0.9991630196554939,1.0,0.0,1485.1301231384277,0.4905703067779541,0.9999999796155624
A1_standard,43,tum_fr1_desk_val,oracle,0.8,0.5047381520271301,0.5047381520271301,0.9999999801877473,0.9991724037406181,1.0,0.0,1996.478115081787,0.5018448233604431,0.999999980073522
A1_standard,43,tum_fr2_xyz,learned,0.1,0.04288620129227638,0.08183559775352478,0.5240530677238016,0.5655172468465169,0.25,0.0389493964612484,216.4347381591797,0.029006239026784897,0.4313190551646393
A1_standard,43,tum_fr2_xyz,learned,0.2,0.09905721247196198,0.19038072228431702,0.5203111222622501,0.547951634864068,0.25,0.09132350981235504,441.5817413330078,0.09612373262643814,0.5049026310230057
A1_standard,43,tum_fr2_xyz,learned,0.4,0.1743624210357666,0.337510347366333,0.5166135415705599,0.6112148609619906,0.5,0.1631479263305664,919.6190223693848,0.16242070496082306,0.484292975498856
A1_standard,43,tum_fr2_xyz,learned,0.6,0.3364129066467285,0.3901675343513489,0.8622267831272662,0.6929512030852145,0.6666666666666666,0.05375462770462036,1376.448818206787,0.326998770236969,0.8036132840594999
A1_standard,43,tum_fr2_xyz,learned,0.8,0.427410364151001,0.47540831565856934,0.8990384498608051,0.7553083981962566,0.8125,0.04799795150756836,1406.6363162994385,0.3364129066467285,0.707629307927479
A1_standard,43,tum_fr2_xyz,error_only,0.1,0.03409142047166824,0.08183559775352478,0.4165841912526137,0.3763191370121842,0.25,0.04774417728185654,200.10940170288086,0.04986123740673065,0.7414302070582712
A1_standard,43,tum_fr2_xyz,error_only,0.2,0.08881880342960358,0.19038072228431702,0.46653252334884626,0.5064427650159528,0.5,0.10156191885471344,452.94952392578125,0.09655361622571945,0.5071606515386496
A1_standard,43,tum_fr2_xyz,error_only,0.4,0.15977883338928223,0.337510347366333,0.47340423753531996,0.5440057193468524,0.5625,0.17773151397705078,887.1916217803955,0.18113470077514648,0.5400928608557007
A1_standard,43,tum_fr2_xyz,error_only,0.6,0.21463671326637268,0.3901675343513489,0.5501142172735174,0.6214416476371646,0.625,0.1755308210849762,1365.5655040740967,0.25485071539878845,0.6263063931345006
A1_standard,43,tum_fr2_xyz,error_only,0.8,0.3528457283973694,0.47540831565856934,0.742195097043331,0.7009538298912329,0.8125,0.12256258726119995,1805.6156635284424,0.3182472884654999,0.6694187530775239
A1_standard,43,tum_fr2_xyz,heuristic,0.1,0.036194175481796265,0.08183559775352478,0.44227905767874415,0.27359273170552434,0.25,0.045641422271728516,221.47885704040527,0.047841161489486694,0.7113919371818515
A1_standard,43,tum_fr2_xyz,heuristic,0.2,0.0853966772556305,0.19038072228431702,0.4485573525796613,0.4194302379104061,0.375,0.10498404502868652,423.35387229919434,0.11615926027297974,0.6101418924027775
A1_standard,43,tum_fr2_xyz,heuristic,0.4,0.16411197185516357,0.337510347366333,0.4862427723278335,0.4860071939112644,0.4375,0.17339837551116943,913.4941005706787,0.21766045689582825,0.6490024184043967
A1_standard,43,tum_fr2_xyz,heuristic,0.6,0.3274446129798889,0.3901675343513489,0.8392410330394435,0.5644953427875313,0.7916666666666666,0.06272292137145996,1365.0976276397705,0.353604257106781,0.8689973913512721
A1_standard,43,tum_fr2_xyz,heuristic,0.8,0.4423264265060425,0.47540831565856934,0.9304137151853631,0.6459696980787839,0.84375,0.033081889152526855,1782.6747188568115,0.44928836822509766,0.9450577275290277
A1_standard,43,tum_fr2_xyz,random,0.1,0.06223848834633827,0.08183559775352478,0.7605306547461618,0.1375276240808972,0.0,0.019597109407186508,213.3282928466797,0.06223848834633827,0.9254783415260832
A1_standard,43,tum_fr2_xyz,random,0.2,0.1587083637714386,0.19038072228431702,0.8336366914190744,0.2631090133950658,0.125,0.03167235851287842,451.0328674316406,0.18534241616725922,0.9735355775944096
A1_standard,43,tum_fr2_xyz,random,0.4,0.20868593454360962,0.337510347366333,0.6183097199506158,0.30874697369197074,0.375,0.1288244128227234,914.1676597595215,0.2232714593410492,0.6657328535443184
A1_standard,43,tum_fr2_xyz,random,0.6,0.3051438331604004,0.3901675343513489,0.7820841009923061,0.40864940497574215,0.5416666666666666,0.08502370119094849,1374.3028888702393,0.301021009683609,0.7397718406936166
A1_standard,43,tum_fr2_xyz,random,0.8,0.3725789189338684,0.47540831565856934,0.7837029745277297,0.47384127867899545,0.78125,0.10282939672470093,1831.7283306121826,0.37761276960372925,0.7942913530956349
A1_standard,43,tum_fr2_xyz,oracle,0.1,0.08183559775352478,0.08183559775352478,0.9999998778038036,0.9975219887371041,1.0,0.0,218.61223602294922,0.06725006550550461,0.9999998513012823
A1_standard,43,tum_fr2_xyz,oracle,0.2,0.19038072228431702,0.19038072228431702,0.9999999474736762,0.9980669574760284,1.0,0.0,443.16879653930664,0.19038072228431702,0.9999999474736762
A1_standard,43,tum_fr2_xyz,oracle,0.4,0.337510347366333,0.337510347366333,0.9999999703712796,0.9983871040924545,1.0,0.0,920.6076011657715,0.33537694811820984,0.9999999701828055
