scene,sensor,seed,frame,psnr_ours,psnr_error,delta_q,win
tum_fr2_xyz,Freiburg 2,43,15,12.096298933029175,12.074810266494751,0.021488666534423828,1
tum_fr2_xyz,Freiburg 2,43,16,11.987825632095337,11.966829299926758,0.0209963321685791,1
tum_fr2_xyz,Freiburg 2,43,17,11.936525106430054,11.917786598205566,0.018738508224487305,1
tum_fr2_xyz,Freiburg 2,43,18,11.811319589614868,11.793733835220337,0.01758575439453125,1
tum_fr2_xyz,Freiburg 2,43,19,11.746524572372437,11.720232963562012,0.026291608810424805,1
tum_fr2_xyz,Freiburg 2,43,20,11.725845336914062,11.70121431350708,0.024631023406982422,1
tum_fr2_xyz,Freiburg 2,43,21,11.654833555221558,11.631584167480469,0.023249387741088867,1
tum_fr2_xyz,Freiburg 2,43,22,11.63522481918335,11.614305973052979,0.020918846130371094,1
tum_fr2_xyz,Freiburg 2,43,23,11.657413244247437,11.641759872436523,0.015653371810913086,1
tum_fr2_xyz,Freiburg 2,43,24,11.742817163467407,11.742234230041504,0.0005829334259033203,1
tum_fr2_xyz,Freiburg 2,43,25,11.835938692092896,11.854467391967773,-0.01852869987487793,0
tum_fr2_xyz,Freiburg 2,43,26,11.85602068901062,11.881492137908936,-0.02547144889831543,0
tum_fr2_xyz,Freiburg 2,43,27,11.958378553390503,11.978306770324707,-0.0199282169342041,0
tum_fr2_xyz,Freiburg 2,43,28,12.132972478866577,12.150336503982544,-0.017364025115966797,0
tum_fr2_xyz,Freiburg 2,43,29,12.13104248046875,12.149627208709717,-0.018584728240966797,0
tum_fr2_xyz,Freiburg 2,44,1,13.458311557769775,13.458311557769775,0.0,1
tum_fr2_xyz,Freiburg 2,44,2,13.425942659378052,13.424005508422852,0.0019371509552001953,1
tum_fr2_xyz,Freiburg 2,44,3,13.295845985412598,13.296414613723755,-0.0005686283111572266,0
tum_fr2_xyz,Freiburg 2,44,4,13.118395805358887,13.114180564880371,0.004215240478515625,1
