frame,config,policy,seed,densification_enabled,N_before,N_new,N_after,N_visible,N_optimized,PSNR,SSIM,depth_L1,coverage,opt_time_ms,frame_time_ms,delta_psnr_step,delta_psnr_cumul,has_nan_inf
16,new_init_new_dense,no_op,42,True,21138,522,21660,19690,0,11.454650163650513,0.3785955607891083,0.36535829305648804,0.8454036712646484,0.0,686.6796060057823,0.00041484832763671875,-0.11762380599975586,False
17,new_init_new_dense,no_op,42,True,21660,562,22222,19922,0,11.465940475463867,0.3725593686103821,0.37669628858566284,0.8479427099227905,0.0,672.3608409956796,0.011290311813354492,-0.10633349418640137,False
18,new_init_new_dense,no_op,42,True,22222,567,22789,20163,0,11.436599493026733,0.35151180624961853,0.3779905438423157,0.8482943177223206,0.0,674.6512219979195,-0.02934098243713379,-0.13567447662353516,False
19,new_init_new_dense,no_op,42,True,22789,646,23435,20371,0,11.437139511108398,0.34400832653045654,0.3954344093799591,0.8488411903381348,0.0,704.3818599922815,0.0005400180816650391,-0.13513445854187012,False
20,new_init_new_dense,no_op,42,True,23435,666,24101,20604,0,11.476266384124756,0.3383829593658447,0.3953079283237457,0.8492578268051147,0.0,742.2240750020137,0.03912687301635742,-0.0960075855255127,False
21,new_init_new_dense,no_op,42,True,24101,631,24732,20841,0,11.481047868728638,0.32813799381256104,0.39899376034736633,0.849596381187439,0.0,726.917849999154,0.004781484603881836,-0.09122610092163086,False
22,new_init_new_dense,no_op,42,True,24732,664,25396,21059,0,11.500896215438843,0.32911011576652527,0.4035811126232147,0.8514062762260437,0.0,742.1120729995891,0.019848346710205078,-0.07137775421142578,False
23,new_init_new_dense,no_op,42,True,25396,600,25996,21202,0,11.540995836257935,0.33291682600975037,0.39734673500061035,0.8514583706855774,0.0,785.1670700038085,0.0400996208190918,-0.031278133392333984,False
24,new_init_new_dense,no_op,42,True,25996,593,26589,21358,0,11.590542793273926,0.34509024024009705,0.3831157982349396,0.8510807752609253,0.0,805.9056589991087,0.04954695701599121,0.018268823623657227,False
25,new_init_new_dense,no_op,42,True,26589,616,27205,21495,0,11.59348726272583,0.35488730669021606,0.3863605260848999,0.8507422208786011,0.0,824.7354719933355,0.002944469451904297,0.021213293075561523,False
26,new_init_new_dense,no_op,42,True,27205,529,27734,21573,0,11.556416749954224,0.3565751314163208,0.378982275724411,0.8512369990348816,0.0,786.8541740026558,-0.037070512771606445,-0.015857219696044922,False
27,new_init_new_dense,no_op,42,True,27734,537,28271,21698,0,11.591229438781738,0.3699021339416504,0.37739598751068115,0.8510807752609253,0.0,791.7526209930656,0.03481268882751465,0.018955469131469727,False
28,new_init_new_dense,no_op,42,True,28271,521,28792,21784,0,11.667463779449463,0.3896331191062927,0.3748074769973755,0.8509505391120911,0.0,804.1445280105108,0.07623434066772461,0.09518980979919434,False
29,new_init_new_dense,no_op,42,True,28792,487,29279,21865,0,11.662265062332153,0.389093279838562,0.36159852147102356,0.8506901264190674,0.0,812.1538520063041,-0.00519871711730957,0.08999109268188477,False
30,new_init_new_dense,no_op,42,True,29279,448,29727,21932,0,11.658130884170532,0.3868027627468109,0.34858477115631104,0.8498177528381348,0.0,824.2444130009972,-0.004134178161621094,0.08585691452026367,False
31,new_init_new_dense,no_op,42,True,29727,475,30202,21971,0,11.67221188545227,0.39002642035484314,0.3611314296722412,0.8499869704246521,0.0,834.7150850022445,0.014081001281738281,0.09993791580200195,False
