budget_ms,seed,policy,display_name,mean_psnr,final_psnr,delta_q_vs_noop,mean_ssim,mean_actual_opt_ms,mean_n_selected,mean_fraction_selected,opt_violation_rate_pct,frame_violation_rate_pct
10.0,42,no_op,No-Op (Pass-through),12.348568233950385,12.139074802398682,0.0,0.5157214660069038,0.0,0.0,0.0,0.0,100.0
10.0,42,full,Full Optimization (Ref. Bound),12.363363545516442,12.184364795684814,0.014795311566057734,0.515585642436455,467.643639137005,4529.862068965517,100.0,0.0,0.0
10.0,42,random,Random Selection,12.357937179762741,12.17615008354187,0.0093689458123567,0.5154073793312599,8.819908931337554,1.0,0.02238625900324559,6.896551724137931,100.0
10.0,42,error_only,Error-Only Heuristic,12.36124901935972,12.168023586273193,0.012680785409335371,0.5158456337863001,7.913507264235924,1.0,0.02243756228936625,6.896551724137931,100.0
10.0,42,ours,Ours (Adaptive Marginal Utility),12.342556180625126,12.141467332839966,-0.006012053325259004,0.514612054002696,6.313167769333412,0.6206896551724138,0.012859240889025774,27.586206896551722,100.0
10.0,43,no_op,No-Op (Pass-through),12.345900042303677,12.161511182785034,0.0,0.5146451921298586,0.0,0.0,0.0,0.0,100.0
10.0,43,random,Random Selection,12.35122458688144,12.134740352630615,0.005324544577762325,0.5150092367468209,0.0,0.0,0.0,0.0,100.0
10.0,43,error_only,Error-Only Heuristic,12.350816850004525,12.166941165924072,0.004916807700848125,0.5154412327141598,0.0,0.0,0.0,0.0,100.0
10.0,43,ours,Ours (Adaptive Marginal Utility),12.347839577444669,12.162359952926636,0.001939535140991211,0.5150014347043531,0.0,0.0,0.0,0.0,100.0
20.0,42,no_op,No-Op (Pass-through),12.348568233950385,12.139074802398682,0.0,0.5157214660069038,0.0,0.0,0.0,0.0,100.0
20.0,42,full,Full Optimization (Ref. Bound),12.363363545516442,12.184364795684814,0.014795311566057734,0.515585642436455,467.643639137005,4529.862068965517,100.0,0.0,0.0
20.0,42,random,Random Selection,12.341633048550836,12.141177654266357,-0.006935185399548516,0.5152342504468458,11.384955767927499,2.0,0.044784737709240026,3.4482758620689653,100.0
20.0,42,error_only,Error-Only Heuristic,12.351125232104597,12.151079177856445,0.0025569981542119535,0.5148660437814121,10.639766166950094,2.0,0.0446972669301878,0.0,100.0
20.0,42,ours,Ours (Adaptive Marginal Utility),12.35755834086188,12.166733741760254,0.008990106911495488,0.5158390916627029,10.04684382471545,0.896551724137931,0.019406617742371592,0.0,100.0
20.0,43,no_op,No-Op (Pass-through),12.345900042303677,12.161511182785034,0.0,0.5146451921298586,0.0,0.0,0.0,0.0,100.0
20.0,43,random,Random Selection,12.343259309900217,12.169032096862793,-0.0026407324034600776,0.5147133212665032,0.0,0.0,0.0,0.0,100.0
20.0,43,error_only,Error-Only Heuristic,12.333169312312686,12.135263681411743,-0.012730729990991563,0.514011554676911,0.0,0.0,0.0,0.0,100.0
20.0,43,ours,Ours (Adaptive Marginal Utility),12.338683481874137,12.149829864501953,-0.007216560429540664,0.5140915862445173,0.0,0.0,0.0,0.0,100.0
30.0,42,no_op,No-Op (Pass-through),12.348568233950385,12.139074802398682,0.0,0.5157214660069038,0.0,0.0,0.0,0.0,100.0
30.0,42,full,Full Optimization (Ref. Bound),12.363363545516442,12.184364795684814,0.014795311566057734,0.515585642436455,467.643639137005,4529.862068965517,100.0,0.0,0.0
30.0,42,random,Random Selection,12.36318929442044,12.152589559555054,0.014621060470055625,0.5155366844144361,14.311798687638907,3.0,0.06712613499456004,0.0,100.0
